id;created_at;updated_at;data_inicio;data_fim;perfil_id;tipo_capacidade_id
20bbb49b-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57c060e3-ba5e-11ec-a5bb-0050569c64a0
20c4f3b3-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57c70921-ba5e-11ec-a5bb-0050569c64a0
20ce7e20-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57cdc4d4-ba5e-11ec-a5bb-0050569c64a0
20da1e0e-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57d4d31a-ba5e-11ec-a5bb-0050569c64a0
20e38da0-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57dbc094-ba5e-11ec-a5bb-0050569c64a0
20ed2117-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57e2453e-ba5e-11ec-a5bb-0050569c64a0
20f9cdc5-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57e92614-ba5e-11ec-a5bb-0050569c64a0
2103003b-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57f173df-ba5e-11ec-a5bb-0050569c64a0
210c1a2c-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57f886a8-ba5e-11ec-a5bb-0050569c64a0
21150f3b-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;5801462b-ba5e-11ec-a5bb-0050569c64a0
211fd2b8-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;580a787a-ba5e-11ec-a5bb-0050569c64a0
2129fde1-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;58118e5f-ba5e-11ec-a5bb-0050569c64a0
213376c3-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;5818448e-ba5e-11ec-a5bb-0050569c64a0
213d0cc0-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;581f16a2-ba5e-11ec-a5bb-0050569c64a0
2147704e-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;5826a8eb-ba5e-11ec-a5bb-0050569c64a0
215100be-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:11";"2022-05-04 14:32:11";"2022-05-04 14:32:11";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;582df05e-ba5e-11ec-a5bb-0050569c64a0
