"id","codigo_ibge","nome","tipo","uf","timezone"
"0a6b3654-bf2d-4f6f-ab9a-17c466cfee3d","4103602",Cambará,MUNICIPIO,PR,-3
"0a823dd5-10f9-42e0-9591-b8cf80a5a191","3122108",Divino Das Laranjeiras,MUNICIPIO,MG,-3
"0a8b3acc-fe7b-4e4a-afeb-f1688b930d44","2402105",Campo Redondo,MUNICIPIO,RN,-3
"0a93361c-7da7-46f9-bd8b-64b6effb7978","3522703",Itápolis,MUNICIPIO,SP,-3
"0a958f4f-598c-4d25-b9ad-1d4f44c4d92a","2609204",Maraial,MUNICIPIO,PE,-3
"0aac9754-b1a9-418d-a1d4-1a10a1ca73c9","3100104",Abadia Dos Dourados,MUNICIPIO,MG,-3
"0ab56513-d765-4d18-ba69-52d6af8bbbfd","2505238",Cuité de Mamanguape,MUNICIPIO,PB,-3
"0ab8ed39-71a4-484a-b514-8a426cbe6ae1","5100805",Apiacás,MUNICIPIO,MT,-4
"0ac00d02-49f4-4d42-836b-beb3ec132b0b","3551504",Serrana,MUNICIPIO,SP,-3
"0ac02c0a-c4ca-49c1-ba26-d15aabc27865","2111722",Satubinha,MUNICIPIO,MA,-3
"0acb7b0f-655f-4c63-9e05-029713bc745b","4202800",Braço do Norte,MUNICIPIO,SC,-3
"0adc533b-cf25-4bf6-a681-e71a84315cd8","3143450",Montezuma,MUNICIPIO,MG,-3
"0af206b1-6ebb-4889-8fb0-6bb44965c657","2402402",Carnaúba Dos Dantas,MUNICIPIO,RN,-3
"0af7cb9e-06ed-43b8-8be9-49bef14ccf9d","4308003",Faxinal do Soturno,MUNICIPIO,RS,-3
"0afab26d-a968-4144-b34d-e094ba433782","3503109",Arandu,MUNICIPIO,SP,-3
"0afb386e-6d23-422d-8e79-f7ae97b1cf23","2925105",Poções,MUNICIPIO,BA,-3
"0b0ec887-d3fa-4cbb-a659-92b5cb5f3274","4311791",Maratá,MUNICIPIO,RS,-3
"0b1f8f32-b5ac-48b8-8994-f76ef571082f","1506138",Redenção,MUNICIPIO,PA,-3
"0b3481ee-2707-4654-af08-f0a55a6ed66d","3537404",Pereira Barreto,MUNICIPIO,SP,-3
"0b3dce4b-0a89-43d5-8c69-9ed60dadf71d","2108207",Pedreiras,MUNICIPIO,MA,-3
"0b483573-d77e-4ba5-94a8-0db5bc8adf29","4212304",Paulo Lopes,MUNICIPIO,SC,-3
"0b62ef6f-39f5-4e54-b3e9-9c244ba618ca","2109452",Raposa,MUNICIPIO,MA,-3
"0b7070bb-0742-4a0d-8cc6-21ebb79359a1","5203559",Bonfinópolis,MUNICIPIO,GO,-3
"0b82e094-5829-4945-9fbc-92d17e71e98e","4209201",Lacerdópolis,MUNICIPIO,SC,-3
"0b8bebe2-f383-4188-9f04-34837d71d268","3115508",Caxambu,MUNICIPIO,MG,-3
"0baaa73d-2578-4efa-84e5-e3bab768d6f8","2920452",Mansidão,MUNICIPIO,BA,-3
"0bb3c3ef-dd04-4d72-8ca4-c0c28897b7b3","4207759",Iraceminha,MUNICIPIO,SC,-3
"0bb8dd00-f40b-44b6-b90a-1a32c17af8c9","4315750",Riozinho,MUNICIPIO,RS,-3
"0bcba130-5c56-433d-a79b-4ae27a75215e","2403400",Equador,MUNICIPIO,RN,-3
"0bcdfee7-fbf8-4fc7-9445-2a9aec93f15a","4117909",Palotina,MUNICIPIO,PR,-3
"0bd1d69e-55d2-45c1-a93f-646b4f76e5eb","5002704",Campo Grande,CAPITAL,MS,-4
"0bd1da72-1627-4305-af1e-fe12760c54f2","2204402",Gilbués,MUNICIPIO,PI,-3
"0bd71c59-9881-4267-84b0-adcedb149601","2600401",Água Preta,MUNICIPIO,PE,-3
"0be18be7-bb13-415c-ba0b-91fd83746d7d","3300803",Cachoeiras de Macacu,MUNICIPIO,RJ,-3
"0bf55a05-df50-4e27-9548-9720ae85256a","4117305",Ortigueira,MUNICIPIO,PR,-3
